ENTREZ_GENE_ID	HUGO_GENE_SYMBOL	GENETIC_ENTITY_ID	TYPE
1	A1BG	1	protein-coding
2	A2M	2	protein-coding
3	A2MP1	3	pseudo
9	NAT1	4	protein-coding
10	NAT2	5	protein-coding
11	NATP	6	pseudo
12	SERPINA3	7	protein-coding
13	AADAC	8	protein-coding
14	AAMP	9	protein-coding
15	AANAT	10	protein-coding
16	AARS	11	protein-coding
17	AAVS1	12	other
18	ABAT	13	protein-coding
19	ABCA1	14	protein-coding
20	ABCA2	15	protein-coding
21	ABCA3	16	protein-coding
22	ABCB7	17	protein-coding
23	ABCF1	18	protein-coding
24	ABCA4	19	protein-coding
25	ABL1	20	protein-coding
26	AOC1	21	protein-coding
27	ABL2	22	protein-coding
28	ABO	23	protein-coding
29	ABR	24	protein-coding
30	ACAA1	25	protein-coding
31	ACACA	26	protein-coding
32	ACACB	27	protein-coding
33	ACADL	28	protein-coding
34	ACADM	29	protein-coding
35	ACADS	30	protein-coding
36	ACADSB	31	protein-coding
37	ACADVL	32	protein-coding
38	ACAT1	33	protein-coding
39	ACAT2	34	protein-coding
40	ASIC2	35	protein-coding
41	ASIC1	36	protein-coding
43	ACHE	37	protein-coding
46	ACLS	38	unknown
47	ACLY	39	protein-coding
48	ACO1	40	protein-coding
49	ACR	41	protein-coding
50	ACO2	42	protein-coding
51	ACOX1	43	protein-coding
52	ACP1	44	protein-coding
53	ACP2	45	protein-coding
54	ACP5	46	protein-coding
55	ACPP	47	protein-coding
56	ACRV1	48	protein-coding
58	ACTA1	49	protein-coding
59	ACTA2	50	protein-coding
60	ACTB	51	protein-coding
62	ACTBP2	52	pseudo
63	ACTBP3	53	pseudo
64	ACTBP4	54	pseudo
66	ACTBP6	55	pseudo
67	ACTBP7	56	pseudo
68	ACTBP8	57	pseudo
69	ACTBP9	58	pseudo
70	ACTC1	59	protein-coding
71	ACTG1	60	protein-coding
72	ACTG2	61	protein-coding
73	ACTG1P1	62	pseudo
74	ACTG1P2	63	pseudo
75	ACTG1P3	64	pseudo
78	ACTG1P6	65	pseudo
79	ACTG1P7	66	pseudo
80	ACTG1P8	67	pseudo
81	ACTN4	68	protein-coding
82	ACTG1P9	69	pseudo
83	ACTG1P10	70	pseudo
86	ACTL6A	71	protein-coding
87	ACTN1	72	protein-coding
88	ACTN2	73	protein-coding
89	ACTN3	74	protein-coding
90	ACVR1	75	protein-coding
91	ACVR1B	76	protein-coding
92	ACVR2A	77	protein-coding
93	ACVR2B	78	protein-coding
94	ACVRL1	79	protein-coding
95	ACY1	80	protein-coding
97	ACYP1	81	protein-coding
98	ACYP2	82	protein-coding
100	ADA	83	protein-coding
101	ADAM8	84	protein-coding
102	ADAM10	85	protein-coding
103	ADAR	86	protein-coding
104	ADARB1	87	protein-coding
105	ADARB2	88	protein-coding
106	ADCP1	89	unknown
